,Link,Languages,Types,Crypto Currencies,Other Payments,Community,~AutoDice speed (~10 sec),Global Rank,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,Month change
19,playamo.com,"RU, EN, DE, NO, FI, PL, FR, PT, ES, CS, ZA, NZ","Casino, Live Casino","BTC, BCH, ETH, DOGE, LTC, USDT","VISA, Mastercard, Maestro, Qiwi, Yandex Money, Skrill, Svyaznoy",?,15 (provider game),9901,441 486,92 891,399 278,375 361,364 496,447 652,564 337,3 604 000,10 350 000,13 380 000,10 270 000,6 391 000,"-37,77%"
20,sunmaker.com,"EN, DE, TR","Casino, Sport",?,"Sofort, VISA, Mastercard, GiroPay, Neteller, Skrill, American Express, Solo, Maestro, Mistercash",?,-,11441,10 840 000,10 350 000,9 668 000,8 584 000,11 560 000,8 118 000,8 580 000,8 882 000,7 076 000,11 650 000,9 996 000,5 816 000,"-41,82%"
21,skyvegas.com,EN,"Casino, Other",?,"VISA, Maestro, Mastercard, PayPal",https://engineering.skybettingandgaming.com/,-,8391,5 796 000,4 984 000,4 930 000,4 461 000,4 458 000,5 530 000,5 181 000,5 909 000,5 697 000,6 488 000,5 837 000,5 613 000,"-3,84%"
22,planetwin365.it,IT,"Casino, Live Casino, Sports, E-Sports",?,"VISA, Mastercard, PostePay, PayPal, Skrill, Neteller, Bank Transfer, PaySafeCard",?,-,9417,16 590 000,16 950 000,16 450 000,8 388 000,4 049 000,3 495 000,4 361 000,4 747 000,4 595 000,4 199 000,3 771 000,3 936 000,"4,38%"
23,stake.com,"EN, RU, TR, CN, PH, IN, PT, ES","Casino, Sport, Other","BTC, ETH, LTC, DOGE, BCH, XRP, TRX",?,https://forum.stake.com/,45,14727,1 160 000,1 157 000,941 208,1 147 000,1 057 000,1 208 000,910 558,826 250,1 048 000,1 418 000,897 336,3 706 000,"313,00%"
24,leovegas.com,"EN, DE, DK, FI, NO, IT, SV","Casino, Live Casino, Sports",?,"VISA, Mastercard, Skrill, Neteller, Trustly, PaySafeCard",?,-,12601,4 191 000,4 139 000,4 211 000,3 497 000,3 037 000,3 288 000,3 773 000,3 200 000,2 828 000,3 231 000,3 245 000,3 167 000,"-2,40%"
25,jackpotcitycasino.com,"EN, ES, FR, DE, SV, NO, FI, JP, GR, RU, PL, BG, LV, CS, HR, MT, LT, IS, KM, KR, TH, SR, IT, PT","Casino, Live Casino",?,"VISA, Mastercard, EcoPayz, EntroPay, Moneta.ru, Neteller, Qiwi, Skrill, WebMoney, Yandex Money",https://blog.jackpotcitycasino.com/ru/,-,15157,3 390 000,3 400 000,3 116 000,2 918 000,2 530 000,2 831 000,2 732 000,2 896 000,2 720 000,2 852 000,2 989 000,2 390 000,"-20,04%"
26,mrgreen.com,"EN, SV, PE, NO, ES, IT, FI, DE, CN, DK","Casino, Live Casino, Sports, E-Sports, Other",?,"VISA, Mastercard, Maestro, PaySafeCard, Bank Transfer, Neteller, Skrill",https://blog.mrgreen.com/en/,-,18863,3 742 000,2 346 000,2 233 000,2 167 000,2 209 000,2 316 000,2 210 000,2 272 000,2 665 000,2 787 000,2 120 000,2 101 000,"-0,90%"
27,casumo.com,"EN, DE, FI, NO, SV, DK","Casino, Live Casino",?,"VISA, Mastercard, Skrill, Neteller, PaySafeCard, Bank Transfer",https://www.casumo.com/en/blog/,-,20075,2 226 000,2 283 000,2 760 000,2 996 000,3 073 000,3 029 000,2 525 000,2 377 000,3 252 000,3 120 000,1 921 000,1 768 000,"-7,96%"
28,europacasino.com,"EN, FR, IT, PL, RU, ES, SV, AR, GR, PT","Casino, Live Casino",?,"VISA, Mastercard, E-Banking, InstaDebit, iDebit, Easy EFT, PaySafeCard, Neteller, Skrill, EntroPay",?,-,37528,2 455 000,3 918 000,3 193 000,2 768 000,2 645 000,2 490 000,1 649 000,1 765 000,2 357 000,3 178 000,2 306 000,1 516 000,"-34,26%"
